Vc_V,Vc_mV,Vsense_ideal_mV,Vsense_floored_mV,Error_mV,Region_code,Region_desc,LT1970_floor_OK,LT1970_linear_OK
3.450000,3450.00,345.0000,345.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.460000,3460.00,346.0000,346.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.470000,3470.00,347.0000,347.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.480000,3480.00,348.0000,348.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.490000,3490.00,349.0000,349.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.500000,3500.00,350.0000,350.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.510000,3510.00,351.0000,351.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.520000,3520.00,352.0000,352.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.530000,3530.00,353.0000,353.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.540000,3540.00,354.0000,354.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.550000,3550.00,355.0000,355.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.560000,3560.00,356.0000,356.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.570000,3570.00,357.0000,357.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.580000,3580.00,358.0000,358.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.590000,3590.00,359.0000,359.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.600000,3600.00,360.0000,360.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.610000,3610.00,361.0000,361.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
3.620000,3620.00,362.0000,362.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
